split1,split2
"Adam's_needle-and-thread","Adam's_needle-and-thread"
"spoonleaf_yucca","spoonleaf_yucca"
"needle_palm","needle_palm"
"Yucca_filamentosa","Yucca_filamentosa"
"Adams","Adams"
"Sam_Adams","Sam_Adams"
"Samuel_Adams","Samuel_Adams"
"Adams","Adams"
"John_Quincy_Adams","John_Quincy_Adams"
"President_Adams","President_Adams"
"President_John_Quincy_Adams","President_John_Quincy_Adams"
"Adams","Adams"
"John_Adams","John_Adams"
"President_Adams","President_Adams"
"President_John_Adams","President_John_Adams"
"Adams","Adams"
"Mount_Adams","Mount_Adams"
"Adana","Adana"
"Seyhan","Seyhan"
"Adansonia","Adansonia"
"genus_Adansonia","genus_Adansonia"
"Adapa","Adapa"
"Adapid","Adapid"
"Adapid_group","Adapid_group"
"Adar","Adar"
"Addis_Ababa","Addis_Ababa"
"New_Flower","New_Flower"
"capital_of_Ethiopia","capital_of_Ethiopia"
"Addison's_disease","Addison's_disease"
"Addison's_syndrome","Addison's_syndrome"
"hypoadrenalism","hypoadrenalism"
"hypoadrenocorticism","hypoadrenocorticism"
"Additions_to_Esther","Additions_to_Esther"
"Adelaide","Adelaide"
"Adelges","Adelges"
"genus_Adelges","genus_Adelges"
"Adelgidae","Adelgidae"
"family_Adelgidae","family_Adelgidae"
"Adelie","Adelie"
"Adelie_penguin","Adelie_penguin"
"Pygoscelis_adeliae","Pygoscelis_adeliae"
"Adelie_Land","Adelie_Land"
"Terre_Adelie","Terre_Adelie"
"Adelie_Coast","Adelie_Coast"
"Aden","Aden"
"Adenanthera","Adenanthera"
"genus_Adenanthera","genus_Adenanthera"
"Adenauer","Adenauer"
"Konrad_Adenauer","Konrad_Adenauer"
"Adenium","Adenium"
"genus_Adenium","genus_Adenium"
"Adenota","Adenota"
"genus_Adenota","genus_Adenota"
"Adi_Granth","Adi_Granth"
"Granth","Granth"
"Granth_Sahib","Granth_Sahib"
"Adiantaceae","Adiantaceae"
"family_Adiantaceae","family_Adiantaceae"
"Adiantum","Adiantum"
